"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 26 08:07:39 UTC 2026","Tue May 26 08:07:39 UTC 2026","287","tests","test_cross_browser","","","","TC_XB_005: Разные разрешения",""
"passed","Tue May 26 08:07:37 UTC 2026","Tue May 26 08:07:38 UTC 2026","410","tests","test_cross_browser","","","","TC_XB_001_002_003: Chromium, Firefox, WebKit",""
"passed","Tue May 26 08:07:09 UTC 2026","Tue May 26 08:07:10 UTC 2026","654","tests","test_cart","","","","TC_CART_003: Добавление одного товара несколько раз",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_inventory","","","","test_inv_006_sort_price_high_to_low",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_navigation","","","","TC_UI_007: Фокус на полях ввода (Tab-навигация)",""
"passed","Tue May 26 08:07:25 UTC 2026","Tue May 26 08:07:25 UTC 2026","210","tests","test_checkout","","","","TC_CHECK_004: Чекаут с пустым Postal code",""
"passed","Tue May 26 08:07:11 UTC 2026","Tue May 26 08:07:11 UTC 2026","0","tests","test_cart","","","","TC_CART_005: Изменение количества товара (если есть +/-)",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_navigation","","","","TC_UI_005: Локализация интерфейса (не поддерживается)",""
"broken","Tue May 26 08:07:14 UTC 2026","Tue May 26 08:07:17 UTC 2026","3461","tests","test_cart","","","","TC_CART_008: Пустая корзина: отображение сообщения",""
"passed","Tue May 26 08:06:53 UTC 2026","Tue May 26 08:06:54 UTC 2026","508","tests","test_auth","","","","test_valid_login_standard_user",""
"passed","Tue May 26 08:07:04 UTC 2026","Tue May 26 08:07:04 UTC 2026","389","tests","test_auth","","","","test_xss_attempt",""
"passed","Tue May 26 08:07:35 UTC 2026","Tue May 26 08:07:36 UTC 2026","211","tests","test_checkout","","","","TC_CHECK_009: Округление копеек (граничный случай)",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_inventory","","","","test_inv_003_product_prices_match",""
"passed","Tue May 26 08:07:39 UTC 2026","Tue May 26 08:07:40 UTC 2026","281","tests","test_cross_browser","","","","TC_XB_005: Разные разрешения",""
"passed","Tue May 26 08:07:33 UTC 2026","Tue May 26 08:07:33 UTC 2026","138","tests","test_checkout","","","","TC_CHECK_007: Возврат к покупкам из шага 1 чекаута",""
"passed","Tue May 26 08:07:06 UTC 2026","Tue May 26 08:07:06 UTC 2026","522","tests","test_auth","","","","test_session_persists_after_reload",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_inventory","","","","test_inv_007_sort_name_a_to_z",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_navigation","","","","TC_UI_002: Меню гамбургер – открыть/закрыть, пункты работают",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_inventory","","","","test_inv_008_item_remains_after_sort",""
"failed","Tue May 26 08:07:26 UTC 2026","Tue May 26 08:07:31 UTC 2026","5217","tests","test_checkout","","","","TC_CHECK_005: Валидация Postal code (формат)",""
"passed","Tue May 26 08:07:32 UTC 2026","Tue May 26 08:07:32 UTC 2026","162","tests","test_checkout","","","","TC_CHECK_006: Возврат к корзине из шага 1 чекаута",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_navigation","","","","TC_UI_004: Тёмная тема (не поддерживается SauceDemo)",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_performance","","","","TC_PERF_003: 10 последовательных прогонов без флаки",""
"passed","Tue May 26 08:07:02 UTC 2026","Tue May 26 08:07:02 UTC 2026","385","tests","test_auth","","","","test_empty_password",""
"passed","Tue May 26 08:07:05 UTC 2026","Tue May 26 08:07:05 UTC 2026","654","tests","test_auth","","","","test_no_account_lockout_after_failed_attempts",""
"passed","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","290","tests","test_cross_browser","","","","TC_XB_005: Разные разрешения",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_performance","","","","TC_PERF_004: Эмуляция 3G -> тест проходит без таймаутов",""
"passed","Tue May 26 08:07:18 UTC 2026","Tue May 26 08:07:18 UTC 2026","590","tests","test_cart","","","","TC_CART_009: Сохранение корзины после перезагрузки",""
"broken","Tue May 26 08:06:55 UTC 2026","Tue May 26 08:06:58 UTC 2026","3322","tests","test_auth","","","","test_valid_login_other_users[performance_glitch_user]",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_inventory","","","","test_inv_009_click_on_image_navigates",""
"passed","Tue May 26 08:07:21 UTC 2026","Tue May 26 08:07:22 UTC 2026","246","tests","test_checkout","","","","TC_CHECK_001: Полный успешный чекаут",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_inventory","","","","test_inv_005_sort_price_low_to_high",""
"passed","Tue May 26 08:07:08 UTC 2026","Tue May 26 08:07:08 UTC 2026","493","tests","test_cart","","","","TC_CART_002: Добавление нескольких разных товаров",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_inventory","","","","test_inv_002_product_names_match",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_inventory","","","","test_inv_001_six_products_displayed","Отображение всех 6 товаров"
"passed","Tue May 26 08:07:07 UTC 2026","Tue May 26 08:07:07 UTC 2026","450","tests","test_cart","","","","TC_CART_001: Добавление одного товара",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_navigation","","","","TC_UI_006: Состояния кнопок disabled/enabled на форме логина",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_inventory","","","","test_inv_004_images_not_broken",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_performance","","","","TC_PERF_001: Время загрузки главной страницы < 3 сек",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_inventory","","","","test_inv_010_remove_button_and_cart_badge",""
"broken","Tue May 26 08:07:40 UTC 2026","Tue May 26 08:07:40 UTC 2026","0","tests","test_navigation","","","","TC_UI_010: Обработка 404 на несуществующем URL",""
"passed","Tue May 26 08:07:01 UTC 2026","Tue May 26 08:07:01 UTC 2026","374","tests","test_auth","","","","test_empty_username",""
